Student_ID,Age,Gender,Grade_Level,Field_of_Study,Usage_of_VR_in_Education,Hours_of_VR_Usage_Per_Week,Engagement_Level,Improvement_in_Learning_Outcomes,Subject,Instructor_VR_Proficiency,Perceived_Effectiveness_of_VR,Access_to_VR_Equipment,Impact_on_Creativity,Stress_Level_with_VR_Usage,Collaboration_with_Peers_via_VR,Feedback_from_Educators_on_VR,Interest_in_Continuing_VR_Based_Learning,Region,School_Support_for_VR_in_Curriculum
STUD4509,17,Female,Undergraduate,Law,Yes,0,3,No,Computer Science,Advanced,1,Yes,1,Low,Yes,Positive,No,Europe,No
STUD4530,17,Male,Undergraduate,Business,Yes,7,5,Yes,Economics,Intermediate,1,Yes,5,Medium,No,Positive,Yes,Oceania,No
STUD4550,17,Male,Postgraduate,Medicine,No,10,2,Yes,History,Intermediate,5,Yes,4,High,No,Positive,No,Europe,Yes
STUD4586,17,Male,High School,Engineering,No,10,3,No,Biology,Beginner,2,Yes,3,Low,Yes,Positive,Yes,Africa,No
STUD4600,17,Male,Postgraduate,Medicine,No,5,1,No,Economics,Intermediate,2,No,3,Low,Yes,Positive,No,South America,No
STUD4634,17,Female,High School,Business,No,3,1,No,History,Beginner,2,Yes,5,Low,No,Neutral,No,North America,No
STUD4697,17,Prefer not to say,High School,Medicine,No,5,5,Yes,Physics,Beginner,5,No,5,Low,No,Positive,Yes,Oceania,No
STUD4711,17,Prefer not to say,Undergraduate,Engineering,Yes,6,5,No,History,Advanced,5,No,4,High,Yes,Neutral,Yes,Europe,Yes
STUD4824,17,Female,High School,Science,No,10,5,No,Biology,Advanced,1,No,4,Medium,No,Positive,No,Africa,No
STUD4865,17,Non-binary,Postgraduate,Law,Yes,8,2,Yes,Physics,Advanced,2,No,1,Medium,Yes,Positive,No,South America,Yes
STUD4902,17,Female,Postgraduate,Education,No,6,5,Yes,Math,Intermediate,4,Yes,2,High,No,Positive,Yes,Asia,Yes
STUD4972,17,Prefer not to say,Undergraduate,Engineering,No,4,3,Yes,Physics,Intermediate,3,Yes,5,High,Yes,Negative,No,South America,Yes
STUD4982,17,Non-binary,Postgraduate,Business,No,7,5,Yes,Computer Science,Beginner,2,Yes,4,Medium,Yes,Positive,No,Oceania,Yes
STUD4983,17,Male,Undergraduate,Law,No,3,5,No,History,Intermediate,2,Yes,4,High,No,Positive,No,Oceania,Yes
STUD4989,17,Prefer not to say,Postgraduate,Medicine,No,9,2,Yes,Computer Science,Beginner,3,Yes,1,High,No,Positive,No,Africa,No
STUD4994,17,Non-binary,Undergraduate,Law,Yes,7,4,Yes,History,Advanced,2,No,2,High,No,Neutral,No,North America,No
STUD0016,18,Female,Postgraduate,Law,Yes,3,1,Yes,Art,Beginner,5,No,1,High,Yes,Positive,No,Oceania,No
STUD0018,18,Female,High School,Business,Yes,10,1,No,Economics,Advanced,4,Yes,5,Medium,Yes,Negative,No,Europe,No
STUD0034,18,Prefer not to say,Undergraduate,Arts,No,8,3,Yes,Math,Advanced,3,No,5,High,Yes,Neutral,No,North America,Yes
STUD0052,18,Non-binary,High School,Business,No,6,3,Yes,Math,Beginner,5,No,2,High,No,Positive,No,South America,Yes
STUD0080,18,Non-binary,Postgraduate,Science,Yes,1,3,No,Biology,Advanced,5,Yes,1,High,No,Positive,Yes,Oceania,No
STUD0103,18,Female,Postgraduate,Engineering,Yes,2,1,No,Art,Intermediate,2,Yes,1,High,Yes,Neutral,No,Africa,No
STUD0138,18,Non-binary,Undergraduate,Medicine,No,4,5,Yes,Biology,Intermediate,3,Yes,4,Low,No,Negative,Yes,Asia,Yes
STUD0175,18,Prefer not to say,High School,Medicine,No,1,4,No,Economics,Intermediate,1,No,5,Medium,No,Negative,Yes,Europe,Yes
STUD0206,18,Prefer not to say,Postgraduate,Law,No,3,2,No,Economics,Beginner,2,No,5,High,Yes,Negative,Yes,North America,Yes
STUD0211,18,Male,High School,Engineering,Yes,4,2,Yes,History,Advanced,3,Yes,5,Low,No,Positive,No,Oceania,Yes
STUD0221,18,Female,Postgraduate,Business,No,8,2,Yes,Math,Advanced,2,No,1,Medium,No,Positive,Yes,Africa,No
STUD0225,18,Female,Undergraduate,Engineering,No,1,4,No,Math,Advanced,5,No,4,High,Yes,Negative,Yes,South America,No
STUD0249,18,Male,High School,Engineering,No,4,3,Yes,Economics,Beginner,4,No,2,Medium,Yes,Positive,Yes,Asia,Yes
STUD0254,18,Non-binary,Undergraduate,Law,Yes,9,4,No,Biology,Intermediate,1,Yes,4,Medium,Yes,Neutral,Yes,Africa,Yes
STUD0272,18,Female,Undergraduate,Science,No,4,1,Yes,History,Intermediate,5,Yes,5,Medium,No,Positive,Yes,Europe,No
STUD0346,18,Male,High School,Arts,No,7,2,No,History,Intermediate,5,Yes,5,Low,Yes,Positive,Yes,Asia,Yes
STUD0350,18,Non-binary,High School,Engineering,Yes,2,2,No,Art,Advanced,4,No,5,High,Yes,Positive,No,Africa,No
STUD0392,18,Prefer not to say,Postgraduate,Business,No,9,2,No,Computer Science,Beginner,1,No,4,Low,No,Positive,Yes,Asia,No
STUD0396,18,Non-binary,High School,Science,No,9,4,Yes,Physics,Advanced,1,No,3,Low,Yes,Positive,Yes,Africa,No
STUD0412,18,Non-binary,Postgraduate,Law,No,5,1,Yes,Computer Science,Beginner,3,Yes,4,Medium,No,Neutral,Yes,Africa,No
STUD0427,18,Prefer not to say,Undergraduate,Science,No,8,1,Yes,History,Advanced,5,No,2,High,Yes,Positive,No,Europe,Yes
STUD0493,18,Male,High School,Education,Yes,8,2,No,Computer Science,Beginner,1,Yes,2,Low,No,Negative,Yes,Europe,Yes
STUD0505,18,Female,Postgraduate,Business,Yes,7,4,No,Art,Intermediate,1,No,2,Medium,Yes,Positive,No,Oceania,No
STUD0509,18,Male,Postgraduate,Education,No,3,2,Yes,Computer Science,Intermediate,5,Yes,4,High,No,Neutral,Yes,Africa,No
STUD0511,18,Non-binary,Undergraduate,Education,Yes,1,4,No,Economics,Advanced,4,Yes,4,Low,No,Neutral,No,Oceania,Yes
STUD0569,18,Non-binary,High School,Business,No,4,5,No,Physics,Intermediate,3,No,3,High,Yes,Negative,No,North America,No
STUD0587,18,Male,Undergraduate,Business,No,10,2,Yes,Math,Intermediate,3,No,4,Low,Yes,Positive,Yes,North America,No
STUD0604,18,Prefer not to say,Undergraduate,Arts,No,3,2,Yes,History,Beginner,4,Yes,3,High,Yes,Neutral,Yes,Asia,Yes
STUD0619,18,Male,Undergraduate,Business,Yes,4,1,Yes,Economics,Beginner,1,Yes,3,High,Yes,Neutral,No,Asia,Yes
STUD0643,18,Prefer not to say,High School,Medicine,Yes,10,3,Yes,Math,Advanced,3,Yes,4,Low,No,Neutral,Yes,Africa,Yes
STUD0660,18,Non-binary,Postgraduate,Business,No,9,4,Yes,History,Beginner,2,Yes,1,High,No,Negative,Yes,South America,No
STUD0681,18,Non-binary,Undergraduate,Law,No,10,4,Yes,History,Intermediate,5,Yes,3,Medium,No,Negative,No,Europe,No
STUD0712,18,Prefer not to say,Undergraduate,Medicine,Yes,4,3,No,Computer Science,Beginner,5,No,1,High,No,Negative,Yes,North America,Yes
STUD0723,18,Prefer not to say,Undergraduate,Arts,No,4,4,Yes,Economics,Beginner,2,Yes,2,Low,Yes,Positive,Yes,South America,Yes
STUD0740,18,Prefer not to say,Undergraduate,Engineering,Yes,8,5,No,Biology,Intermediate,3,Yes,5,Medium,Yes,Neutral,No,Asia,Yes
STUD0766,18,Male,Postgraduate,Arts,Yes,8,3,No,Economics,Beginner,1,Yes,2,Medium,Yes,Positive,No,Europe,No
STUD0836,18,Female,Undergraduate,Science,No,5,4,Yes,Biology,Advanced,2,No,5,Medium,No,Negative,Yes,North America,No
STUD0842,18,Non-binary,Postgraduate,Engineering,Yes,9,5,No,Computer Science,Beginner,3,No,4,Medium,Yes,Positive,Yes,Asia,No
STUD0852,18,Male,High School,Education,Yes,2,5,Yes,Biology,Beginner,3,No,4,Low,No,Negative,Yes,Europe,Yes
STUD0853,18,Non-binary,High School,Engineering,No,10,2,Yes,Physics,Beginner,3,Yes,2,Low,No,Neutral,No,Europe,Yes
STUD0870,18,Female,Undergraduate,Education,Yes,4,4,No,Physics,Advanced,4,Yes,4,Low,Yes,Negative,Yes,Africa,No
STUD0919,18,Female,Postgraduate,Arts,No,4,2,Yes,Math,Advanced,5,No,5,Low,No,Positive,Yes,Oceania,No
STUD0920,18,Prefer not to say,High School,Law,Yes,5,1,No,Art,Beginner,4,Yes,3,Low,Yes,Negative,Yes,South America,Yes
STUD0935,18,Prefer not to say,Postgraduate,Science,No,7,4,No,Computer Science,Beginner,4,No,1,High,Yes,Neutral,Yes,Asia,Yes
STUD0957,18,Prefer not to say,Undergraduate,Law,No,9,5,Yes,Physics,Intermediate,1,No,2,High,No,Positive,No,Asia,No
STUD0961,18,Male,Postgraduate,Arts,Yes,2,5,Yes,Art,Intermediate,2,Yes,1,High,Yes,Neutral,Yes,Asia,Yes
STUD0966,18,Male,Undergraduate,Science,Yes,2,3,Yes,Economics,Advanced,2,No,2,Medium,Yes,Negative,No,North America,No
STUD0999,18,Female,Undergraduate,Science,Yes,9,2,Yes,Physics,Beginner,3,Yes,2,High,Yes,Positive,No,South America,No
STUD1008,18,Non-binary,Undergraduate,Education,Yes,8,2,Yes,Physics,Beginner,5,Yes,3,Medium,Yes,Positive,Yes,Europe,Yes
STUD1023,18,Non-binary,Undergraduate,Law,Yes,7,5,No,Physics,Beginner,1,Yes,4,Medium,Yes,Negative,No,Asia,No
STUD1037,18,Prefer not to say,Postgraduate,Business,No,8,1,Yes,Art,Advanced,4,Yes,5,Medium,No,Negative,Yes,Oceania,No
STUD1059,18,Male,High School,Arts,No,7,5,No,Math,Intermediate,3,Yes,3,Medium,Yes,Positive,No,South America,No
STUD1093,18,Male,Undergraduate,Medicine,No,7,2,No,Economics,Beginner,5,No,1,Low,Yes,Negative,No,Asia,Yes
STUD1171,18,Female,High School,Business,Yes,2,2,Yes,History,Beginner,3,Yes,4,High,Yes,Neutral,Yes,Asia,Yes
STUD1197,18,Female,Undergraduate,Business,Yes,8,1,Yes,Computer Science,Beginner,2,No,1,Low,Yes,Neutral,No,Europe,Yes
STUD1264,18,Female,Postgraduate,Engineering,Yes,9,2,Yes,Math,Beginner,5,No,1,High,No,Positive,No,Europe,Yes
STUD1322,18,Female,High School,Medicine,Yes,4,2,Yes,Economics,Beginner,1,Yes,2,Low,No,Neutral,Yes,South America,No
STUD1327,18,Non-binary,Postgraduate,Business,Yes,6,1,No,Economics,Beginner,3,Yes,1,Medium,No,Neutral,Yes,South America,No
STUD1346,18,Male,High School,Business,No,0,3,Yes,Biology,Advanced,2,No,4,Medium,No,Positive,No,Africa,Yes
STUD1349,18,Male,High School,Education,No,9,5,Yes,History,Intermediate,3,Yes,4,High,Yes,Positive,No,Africa,No
STUD1388,18,Prefer not to say,High School,Arts,Yes,6,3,No,History,Advanced,3,No,3,High,Yes,Positive,Yes,North America,No
STUD1390,18,Male,High School,Arts,Yes,1,3,No,Economics,Advanced,4,No,2,Medium,Yes,Positive,No,Africa,No
STUD1391,18,Prefer not to say,High School,Arts,Yes,9,3,No,Economics,Beginner,4,No,1,Medium,Yes,Positive,Yes,Oceania,No
STUD1394,18,Male,Undergraduate,Engineering,No,10,5,Yes,History,Beginner,2,No,5,Medium,Yes,Positive,Yes,Asia,Yes
STUD1398,18,Prefer not to say,Undergraduate,Business,Yes,8,2,No,History,Advanced,1,Yes,3,High,No,Positive,Yes,Asia,Yes
STUD1456,18,Prefer not to say,Undergraduate,Arts,Yes,1,3,Yes,Art,Beginner,2,No,4,High,No,Negative,Yes,North America,No
STUD1463,18,Non-binary,Undergraduate,Arts,No,7,5,Yes,Economics,Intermediate,3,No,2,High,Yes,Neutral,Yes,South America,Yes
STUD1519,18,Prefer not to say,Undergraduate,Science,Yes,5,4,Yes,Computer Science,Advanced,2,Yes,5,Medium,No,Neutral,Yes,South America,Yes
STUD1539,18,Prefer not to say,Undergraduate,Science,Yes,10,1,No,Physics,Intermediate,2,No,5,Low,Yes,Positive,Yes,Europe,No
STUD1541,18,Prefer not to say,Undergraduate,Law,No,10,4,Yes,Art,Advanced,4,Yes,2,High,Yes,Negative,Yes,Oceania,No
STUD1563,18,Female,Postgraduate,Arts,Yes,6,1,No,Computer Science,Beginner,4,Yes,3,Medium,No,Negative,No,Oceania,Yes
STUD1576,18,Male,High School,Science,No,4,4,No,Economics,Beginner,3,No,5,High,Yes,Neutral,Yes,South America,Yes
STUD1579,18,Male,Postgraduate,Medicine,Yes,9,1,Yes,Math,Advanced,2,Yes,1,Low,Yes,Negative,Yes,Africa,Yes
STUD1591,18,Prefer not to say,Postgraduate,Science,Yes,2,2,No,Physics,Advanced,4,Yes,2,Low,Yes,Positive,No,Africa,No
STUD1655,18,Prefer not to say,Postgraduate,Law,No,4,2,No,Computer Science,Beginner,3,No,5,High,Yes,Neutral,No,Oceania,Yes
STUD1656,18,Prefer not to say,Postgraduate,Medicine,Yes,7,1,No,Math,Intermediate,1,No,2,High,No,Neutral,Yes,Asia,Yes
STUD1677,18,Prefer not to say,Postgraduate,Medicine,Yes,5,4,No,Biology,Advanced,2,Yes,1,Low,No,Positive,Yes,Oceania,No
STUD1710,18,Non-binary,High School,Law,Yes,0,4,No,Biology,Advanced,1,Yes,2,Medium,No,Neutral,Yes,Africa,Yes
STUD1720,18,Prefer not to say,Undergraduate,Arts,Yes,1,4,Yes,Biology,Advanced,1,Yes,5,Low,No,Neutral,Yes,Asia,Yes
STUD1735,18,Prefer not to say,Undergraduate,Science,No,7,5,Yes,Biology,Advanced,5,Yes,4,Low,No,Positive,Yes,North America,Yes
STUD1766,18,Non-binary,High School,Law,Yes,4,3,Yes,Math,Beginner,1,Yes,2,Medium,Yes,Neutral,Yes,Africa,No
STUD1768,18,Prefer not to say,Postgraduate,Business,Yes,6,2,Yes,Economics,Beginner,1,No,3,Low,Yes,Negative,No,Oceania,Yes
STUD1793,18,Male,Postgraduate,Business,Yes,4,2,No,Biology,Advanced,4,Yes,4,Low,No,Neutral,No,North America,No
STUD1794,18,Male,High School,Education,Yes,4,3,Yes,Computer Science,Advanced,4,No,3,Medium,Yes,Negative,Yes,Asia,Yes
STUD1811,18,Female,High School,Arts,No,2,5,No,Art,Beginner,1,Yes,3,Low,No,Positive,Yes,Asia,Yes
STUD1830,18,Female,Undergraduate,Arts,Yes,10,2,No,Art,Beginner,4,No,4,High,Yes,Neutral,Yes,Oceania,No
STUD1831,18,Prefer not to say,Postgraduate,Medicine,Yes,8,4,Yes,Physics,Intermediate,5,No,5,High,No,Positive,No,Europe,Yes
STUD1850,18,Prefer not to say,Undergraduate,Arts,No,0,3,No,Economics,Intermediate,5,Yes,4,High,Yes,Positive,No,Europe,Yes
STUD1911,18,Non-binary,High School,Arts,No,7,5,Yes,Computer Science,Intermediate,1,No,5,High,No,Positive,No,Africa,Yes
STUD1917,18,Male,High School,Arts,No,0,3,No,Art,Advanced,3,No,1,Medium,Yes,Positive,No,Africa,Yes
STUD1953,18,Female,Postgraduate,Engineering,Yes,10,3,Yes,Computer Science,Intermediate,1,No,1,High,Yes,Neutral,Yes,Oceania,No
STUD1972,18,Female,Undergraduate,Arts,No,3,4,Yes,Computer Science,Intermediate,4,Yes,1,High,Yes,Neutral,No,Oceania,No
STUD1982,18,Female,Undergraduate,Medicine,No,5,5,Yes,Art,Beginner,3,No,3,High,Yes,Positive,Yes,Oceania,Yes
STUD1985,18,Prefer not to say,Postgraduate,Business,Yes,4,4,Yes,Art,Advanced,1,No,2,Low,Yes,Negative,Yes,Europe,No
STUD1989,18,Female,Postgraduate,Medicine,No,0,5,No,Computer Science,Advanced,4,Yes,5,High,Yes,Neutral,No,Oceania,Yes
STUD1998,18,Prefer not to say,Undergraduate,Medicine,No,5,1,Yes,Physics,Intermediate,4,Yes,5,High,Yes,Neutral,No,Asia,Yes
STUD2005,18,Non-binary,Undergraduate,Engineering,Yes,8,3,No,Art,Advanced,4,Yes,2,Low,Yes,Negative,No,North America,Yes
STUD2044,18,Non-binary,High School,Law,No,2,5,Yes,Art,Beginner,2,Yes,4,High,Yes,Positive,Yes,Oceania,No
STUD2081,18,Female,Postgraduate,Arts,Yes,8,4,No,Biology,Advanced,5,No,5,Medium,No,Negative,Yes,Asia,No
STUD2092,18,Prefer not to say,High School,Medicine,Yes,0,1,Yes,Physics,Beginner,2,No,2,Medium,No,Negative,No,South America,Yes
STUD2126,18,Male,Postgraduate,Arts,Yes,9,2,Yes,Math,Beginner,2,No,5,Medium,Yes,Negative,Yes,Asia,Yes
STUD2132,18,Non-binary,High School,Law,Yes,4,2,No,History,Beginner,1,Yes,1,Low,No,Positive,No,North America,Yes
STUD2152,18,Non-binary,Postgraduate,Medicine,No,4,1,Yes,History,Beginner,2,Yes,1,Medium,No,Negative,Yes,Oceania,Yes
STUD2178,18,Non-binary,Undergraduate,Medicine,Yes,2,2,No,History,Beginner,5,No,5,Low,Yes,Positive,No,Africa,No
STUD2186,18,Male,High School,Engineering,Yes,4,4,Yes,Biology,Intermediate,5,Yes,2,Low,No,Neutral,Yes,South America,Yes
STUD2211,18,Prefer not to say,Undergraduate,Science,Yes,5,1,Yes,Economics,Advanced,1,No,5,High,Yes,Positive,No,South America,Yes
STUD2247,18,Female,Postgraduate,Arts,Yes,3,5,Yes,Art,Beginner,1,Yes,5,High,No,Positive,Yes,Oceania,No
STUD2264,18,Non-binary,Undergraduate,Science,Yes,5,5,Yes,Math,Advanced,4,Yes,1,Low,No,Positive,Yes,South America,Yes
STUD2276,18,Female,Undergraduate,Engineering,No,10,2,Yes,Economics,Advanced,2,Yes,2,Medium,Yes,Positive,No,Asia,No
STUD2294,18,Male,High School,Education,No,5,4,No,Art,Advanced,1,No,4,High,No,Negative,No,Oceania,Yes
STUD2323,18,Male,Postgraduate,Medicine,Yes,0,5,Yes,Physics,Beginner,5,Yes,1,Low,No,Neutral,Yes,North America,No
STUD2364,18,Female,Postgraduate,Science,Yes,9,2,Yes,Math,Intermediate,3,Yes,3,High,No,Negative,Yes,North America,No
STUD2367,18,Female,High School,Education,Yes,8,3,Yes,Economics,Advanced,2,No,5,Medium,Yes,Negative,Yes,Europe,No
STUD2385,18,Male,High School,Science,Yes,10,3,Yes,Math,Intermediate,5,No,2,High,No,Positive,No,Oceania,No
STUD2386,18,Prefer not to say,Undergraduate,Medicine,Yes,4,3,Yes,Art,Advanced,3,Yes,5,High,Yes,Negative,Yes,South America,No
STUD2389,18,Prefer not to say,Postgraduate,Science,Yes,4,5,Yes,Economics,Beginner,2,No,4,High,Yes,Positive,No,Asia,Yes
STUD2410,18,Male,High School,Science,No,2,1,Yes,Art,Advanced,3,Yes,5,High,No,Neutral,Yes,Africa,Yes
STUD2420,18,Non-binary,High School,Engineering,Yes,6,2,No,Math,Advanced,2,Yes,5,Low,Yes,Positive,No,Europe,No
STUD2425,18,Non-binary,Postgraduate,Business,No,6,4,Yes,Biology,Beginner,5,Yes,1,High,Yes,Negative,Yes,Europe,Yes
STUD2436,18,Non-binary,High School,Business,Yes,1,1,Yes,Computer Science,Beginner,4,No,2,Low,Yes,Neutral,Yes,Europe,Yes
STUD2464,18,Prefer not to say,Undergraduate,Business,Yes,7,2,No,Economics,Beginner,2,Yes,2,Medium,No,Negative,No,North America,No
STUD2468,18,Female,High School,Business,No,3,2,Yes,Physics,Intermediate,1,Yes,5,Low,Yes,Neutral,No,Europe,No
STUD2498,18,Prefer not to say,Postgraduate,Engineering,Yes,4,2,No,Art,Advanced,3,Yes,4,High,No,Neutral,Yes,South America,No
STUD2530,18,Non-binary,Postgraduate,Law,Yes,9,3,Yes,Physics,Beginner,5,Yes,2,Medium,Yes,Neutral,Yes,Asia,No
STUD2558,18,Male,High School,Arts,No,3,5,No,Biology,Beginner,4,Yes,3,Low,No,Negative,No,Africa,No
STUD2578,18,Non-binary,Postgraduate,Law,Yes,1,5,Yes,Economics,Advanced,1,No,4,High,No,Positive,Yes,North America,Yes
STUD2592,18,Non-binary,High School,Science,No,5,1,Yes,Art,Intermediate,2,Yes,2,Low,Yes,Negative,No,Asia,No
STUD2615,18,Female,High School,Science,Yes,3,5,Yes,Biology,Advanced,2,No,4,Medium,Yes,Positive,No,North America,Yes
STUD2713,18,Prefer not to say,Postgraduate,Arts,No,5,4,No,Biology,Intermediate,2,No,5,High,No,Positive,No,Oceania,Yes
STUD2715,18,Non-binary,Postgraduate,Arts,Yes,0,3,Yes,Computer Science,Intermediate,4,Yes,5,High,No,Positive,No,Asia,Yes
STUD2734,18,Male,Postgraduate,Education,No,0,1,No,Art,Advanced,3,No,1,High,Yes,Neutral,Yes,Oceania,Yes
STUD2759,18,Female,Undergraduate,Engineering,Yes,7,4,No,Math,Intermediate,5,No,3,Low,Yes,Negative,Yes,North America,Yes
STUD2782,18,Male,High School,Medicine,Yes,0,3,Yes,Art,Intermediate,2,Yes,5,Medium,Yes,Neutral,Yes,Oceania,Yes
STUD2788,18,Prefer not to say,Undergraduate,Medicine,No,1,2,Yes,Art,Advanced,2,Yes,4,Medium,Yes,Negative,No,Europe,No
STUD2801,18,Male,High School,Law,No,0,3,Yes,Computer Science,Advanced,1,Yes,2,Medium,No,Positive,No,South America,No
STUD2831,18,Non-binary,Undergraduate,Engineering,No,4,1,No,Math,Intermediate,3,No,3,Medium,No,Negative,No,Africa,No
STUD2859,18,Male,Undergraduate,Medicine,Yes,6,3,No,Biology,Intermediate,1,Yes,2,Medium,Yes,Negative,No,Africa,Yes
STUD2867,18,Prefer not to say,High School,Medicine,Yes,9,1,No,Math,Beginner,4,No,4,Low,Yes,Neutral,No,North America,Yes
STUD2880,18,Male,Undergraduate,Arts,No,7,4,No,Physics,Intermediate,5,No,1,High,No,Neutral,Yes,Asia,Yes
STUD2910,18,Non-binary,Undergraduate,Science,No,9,5,No,Physics,Beginner,2,Yes,3,Low,No,Negative,No,Asia,Yes
STUD2915,18,Male,Postgraduate,Law,No,6,3,No,Computer Science,Beginner,3,Yes,4,High,No,Neutral,Yes,Europe,Yes
STUD2916,18,Prefer not to say,Undergraduate,Medicine,No,8,5,Yes,History,Advanced,2,Yes,1,Medium,No,Neutral,No,Asia,No
STUD2923,18,Non-binary,Postgraduate,Science,No,1,5,No,Biology,Beginner,3,Yes,1,High,No,Neutral,Yes,South America,No
STUD2932,18,Non-binary,High School,Law,Yes,10,4,Yes,History,Intermediate,4,Yes,5,High,Yes,Negative,Yes,North America,No
STUD2950,18,Non-binary,High School,Medicine,Yes,3,3,No,Biology,Beginner,3,No,3,High,No,Positive,No,Europe,Yes
STUD2952,18,Female,High School,Engineering,Yes,3,5,No,History,Intermediate,4,Yes,3,Low,No,Neutral,Yes,Africa,No
STUD2961,18,Non-binary,High School,Law,No,1,1,No,Art,Advanced,1,No,1,Medium,Yes,Negative,Yes,Asia,No
STUD2972,18,Female,High School,Arts,No,3,1,Yes,History,Intermediate,4,No,1,Low,No,Positive,Yes,Oceania,No
STUD2978,18,Prefer not to say,Undergraduate,Law,No,6,4,Yes,Biology,Beginner,2,No,3,Low,Yes,Negative,No,South America,No
STUD2982,18,Male,Undergraduate,Engineering,Yes,3,1,No,History,Intermediate,1,No,5,Medium,No,Negative,Yes,North America,No
STUD2984,18,Male,Undergraduate,Science,Yes,2,3,Yes,Computer Science,Advanced,1,Yes,3,Low,No,Negative,Yes,Oceania,Yes
STUD3064,18,Prefer not to say,High School,Engineering,Yes,0,5,Yes,Biology,Advanced,1,No,3,Low,No,Neutral,No,South America,Yes
STUD3081,18,Prefer not to say,High School,Education,Yes,6,1,Yes,Physics,Advanced,3,Yes,3,Low,No,Positive,Yes,Asia,Yes
STUD3143,18,Prefer not to say,Undergraduate,Law,No,7,3,Yes,Economics,Advanced,5,No,1,High,No,Negative,Yes,South America,Yes
STUD3190,18,Prefer not to say,Postgraduate,Arts,No,9,1,No,Biology,Beginner,1,No,1,Medium,Yes,Neutral,No,Asia,Yes
STUD3192,18,Non-binary,High School,Education,No,7,1,No,Math,Intermediate,3,No,5,Medium,Yes,Negative,No,Europe,Yes
STUD3194,18,Male,Postgraduate,Medicine,No,9,1,Yes,Math,Beginner,5,Yes,5,Medium,Yes,Negative,No,Africa,Yes
STUD3256,18,Non-binary,High School,Education,Yes,2,1,Yes,Art,Advanced,4,No,1,High,No,Negative,No,Europe,Yes
STUD3267,18,Male,High School,Business,No,6,3,No,Art,Advanced,1,No,5,Medium,Yes,Neutral,Yes,Africa,Yes
STUD3395,18,Male,Undergraduate,Education,Yes,7,4,Yes,Economics,Beginner,2,No,1,High,No,Positive,Yes,Africa,Yes
STUD3437,18,Female,High School,Business,No,1,1,Yes,Biology,Beginner,4,No,2,High,No,Negative,No,Europe,No
STUD3445,18,Male,High School,Business,Yes,10,5,No,Art,Advanced,5,No,4,High,No,Negative,No,South America,No
STUD3452,18,Female,Undergraduate,Engineering,No,1,4,Yes,Biology,Advanced,2,No,5,Low,Yes,Neutral,No,South America,Yes
STUD3477,18,Non-binary,Undergraduate,Business,Yes,6,1,No,Economics,Intermediate,2,Yes,4,High,Yes,Neutral,Yes,South America,No
STUD3506,18,Non-binary,Postgraduate,Education,No,8,2,No,Computer Science,Advanced,5,No,5,Medium,Yes,Positive,No,Africa,Yes
STUD3522,18,Non-binary,Undergraduate,Education,No,3,1,Yes,Biology,Beginner,3,Yes,4,High,Yes,Neutral,Yes,Oceania,Yes
STUD3532,18,Prefer not to say,Postgraduate,Science,No,3,4,No,Computer Science,Beginner,3,Yes,2,Medium,Yes,Positive,No,North America,Yes
STUD3547,18,Prefer not to say,High School,Education,No,6,2,No,Biology,Beginner,1,No,2,Medium,Yes,Neutral,Yes,Asia,Yes
STUD3564,18,Non-binary,Postgraduate,Engineering,No,10,2,No,Physics,Beginner,2,Yes,4,Medium,Yes,Positive,Yes,Africa,No
STUD3619,18,Female,High School,Law,No,2,1,No,Math,Intermediate,2,Yes,2,Low,Yes,Positive,No,North America,No
STUD3622,18,Male,High School,Medicine,No,0,2,No,Art,Intermediate,1,Yes,3,High,Yes,Positive,Yes,South America,No
STUD3641,18,Prefer not to say,Undergraduate,Science,No,9,1,No,Computer Science,Advanced,4,Yes,4,Medium,Yes,Positive,Yes,South America,Yes
STUD3649,18,Female,Postgraduate,Medicine,No,3,5,No,Computer Science,Intermediate,1,Yes,4,Medium,Yes,Neutral,Yes,Africa,No
STUD3658,18,Male,Undergraduate,Business,No,0,3,Yes,History,Beginner,3,No,2,Medium,No,Positive,Yes,North America,Yes
STUD3664,18,Male,Undergraduate,Business,No,6,3,Yes,Physics,Intermediate,5,Yes,2,Low,Yes,Negative,Yes,North America,Yes
STUD3682,18,Non-binary,High School,Law,Yes,9,1,No,Art,Intermediate,1,No,3,High,No,Negative,No,South America,No
STUD3687,18,Female,Undergraduate,Engineering,Yes,10,5,Yes,Art,Beginner,1,Yes,4,High,No,Negative,Yes,Asia,No
STUD3692,18,Male,High School,Medicine,No,5,4,No,Physics,Beginner,1,Yes,4,Low,Yes,Positive,Yes,Oceania,Yes
STUD3695,18,Male,High School,Engineering,Yes,6,1,No,Physics,Advanced,5,No,2,High,Yes,Positive,Yes,Asia,No
STUD3696,18,Female,Undergraduate,Medicine,Yes,10,5,Yes,Computer Science,Advanced,4,Yes,3,Low,Yes,Positive,No,Asia,Yes
STUD3730,18,Male,Undergraduate,Medicine,Yes,4,5,No,Physics,Beginner,3,Yes,2,Medium,Yes,Neutral,Yes,Oceania,Yes
STUD3739,18,Male,High School,Law,Yes,6,3,No,Biology,Advanced,3,No,1,Medium,No,Negative,No,Europe,Yes
STUD3741,18,Male,Undergraduate,Arts,Yes,9,5,No,Math,Intermediate,5,No,1,High,Yes,Negative,Yes,Asia,No
